Shelve Type,Shelf,Cufeet
Lower Shelve,F0-PZ01-A01-R01-A1,47
Lower Shelve,F0-PZ01-A01-R01-A2,47
Lower Shelve,F0-PZ01-A01-R01-A3,47
Upper Shelve,F0-PZ01-A01-R01-B1,32
Upper Shelve,F0-PZ01-A01-R01-B2,32
Upper Shelve,F0-PZ01-A01-R01-B3,32
Upper Shelve,F0-PZ01-A01-R01-B4,32
Bulk Location,F0-PZ01-A01-R01-PL1,60
Bulk Location,F0-PZ01-A01-R01-PL2,60
Lower Shelve,F0-PZ01-A01-R02-A1,47
Lower Shelve,F0-PZ01-A01-R02-A2,47
Lower Shelve,F0-PZ01-A01-R02-A3,47
Upper Shelve,F0-PZ01-A01-R02-B1,32
Upper Shelve,F0-PZ01-A01-R02-B2,32
Upper Shelve,F0-PZ01-A01-R02-B3,32
Upper Shelve,F0-PZ01-A01-R02-B4,32
Lower Shelve,F0-PZ01-A01-R03-A1,47
Lower Shelve,F0-PZ01-A01-R03-A2,47
Lower Shelve,F0-PZ01-A01-R03-A3,47
Upper Shelve,F0-PZ01-A01-R03-B1,32
Upper Shelve,F0-PZ01-A01-R03-B2,32
Upper Shelve,F0-PZ01-A01-R03-B3,32
Upper Shelve,F0-PZ01-A01-R03-B4,32
Lower Shelve,F0-PZ01-A01-R04-A1,47
Lower Shelve,F0-PZ01-A01-R04-A2,47
Lower Shelve,F0-PZ01-A01-R04-A3,47
Upper Shelve,F0-PZ01-A01-R04-B1,32
Upper Shelve,F0-PZ01-A01-R04-B2,32
Upper Shelve,F0-PZ01-A01-R04-B3,32
Upper Shelve,F0-PZ01-A01-R04-B4,32
Lower Shelve,F0-PZ01-A01-R05-A1,47
Lower Shelve,F0-PZ01-A01-R05-A2,47
Lower Shelve,F0-PZ01-A01-R05-A3,47
Upper Shelve,F0-PZ01-A01-R05-B1,32
Upper Shelve,F0-PZ01-A01-R05-B2,32
Upper Shelve,F0-PZ01-A01-R05-B3,32
Upper Shelve,F0-PZ01-A01-R05-B4,32
Lower Shelve,F0-PZ01-A02-R01-A1,47
Lower Shelve,F0-PZ01-A02-R01-A2,47
Lower Shelve,F0-PZ01-A02-R01-A3,47
Upper Shelve,F0-PZ01-A02-R01-B1,32
Upper Shelve,F0-PZ01-A02-R01-B2,32
Upper Shelve,F0-PZ01-A02-R01-B3,32
Upper Shelve,F0-PZ01-A02-R01-B4,32
Lower Shelve,F0-PZ01-A02-R02-A1,47
Lower Shelve,F0-PZ01-A02-R02-A2,47
Lower Shelve,F0-PZ01-A02-R02-A3,47
Upper Shelve,F0-PZ01-A02-R02-B1,32
Upper Shelve,F0-PZ01-A02-R02-B2,32
Upper Shelve,F0-PZ01-A02-R02-B3,32
Upper Shelve,F0-PZ01-A02-R02-B4,32
Lower Shelve,F0-PZ01-A02-R03-A1,47
Lower Shelve,F0-PZ01-A02-R03-A2,47
Lower Shelve,F0-PZ01-A02-R03-A3,47
Upper Shelve,F0-PZ01-A02-R03-B1,32
Upper Shelve,F0-PZ01-A02-R03-B2,32
Upper Shelve,F0-PZ01-A02-R03-B3,32
Upper Shelve,F0-PZ01-A02-R03-B4,32
Lower Shelve,F0-PZ01-A02-R04-A1,47
Lower Shelve,F0-PZ01-A02-R04-A2,47
Lower Shelve,F0-PZ01-A02-R04-A3,47
Upper Shelve,F0-PZ01-A02-R04-B1,32
Upper Shelve,F0-PZ01-A02-R04-B2,32
Upper Shelve,F0-PZ01-A02-R04-B3,32
Upper Shelve,F0-PZ01-A02-R04-B4,32
Lower Shelve,F0-PZ01-A02-R05-A1,47
Lower Shelve,F0-PZ01-A02-R05-A2,47
Lower Shelve,F0-PZ01-A02-R05-A3,47
Upper Shelve,F0-PZ01-A02-R05-B1,32
Upper Shelve,F0-PZ01-A02-R05-B2,32
Upper Shelve,F0-PZ01-A02-R05-B3,32
Upper Shelve,F0-PZ01-A02-R05-B4,32
Lower Shelve,F0-PZ01-A02-R06-A1,47
Lower Shelve,F0-PZ01-A02-R06-A2,47
Lower Shelve,F0-PZ01-A02-R06-A3,47
Upper Shelve,F0-PZ01-A02-R06-B1,32
Upper Shelve,F0-PZ01-A02-R06-B2,32
Upper Shelve,F0-PZ01-A02-R06-B3,32
Upper Shelve,F0-PZ01-A02-R06-B4,32
Lower Shelve,F0-PZ01-A02-R07-A1,47
Lower Shelve,F0-PZ01-A02-R07-A2,47
Lower Shelve,F0-PZ01-A02-R07-A3,47
Upper Shelve,F0-PZ01-A02-R07-B1,32
Upper Shelve,F0-PZ01-A02-R07-B2,32
Upper Shelve,F0-PZ01-A02-R07-B3,32
Upper Shelve,F0-PZ01-A02-R07-B4,32
Lower Shelve,F0-PZ01-A03-R01-A1,47
Lower Shelve,F0-PZ01-A03-R01-A2,47
Lower Shelve,F0-PZ01-A03-R01-A3,47
Upper Shelve,F0-PZ01-A03-R01-B1,32
Upper Shelve,F0-PZ01-A03-R01-B2,32
Upper Shelve,F0-PZ01-A03-R01-B3,32
Upper Shelve,F0-PZ01-A03-R01-B4,32
Lower Shelve,F0-PZ01-A03-R02-A1,47
Lower Shelve,F0-PZ01-A03-R02-A2,47
Lower Shelve,F0-PZ01-A03-R02-A3,47
Upper Shelve,F0-PZ01-A03-R02-B1,32
Upper Shelve,F0-PZ01-A03-R02-B2,32
Upper Shelve,F0-PZ01-A03-R02-B3,32
Upper Shelve,F0-PZ01-A03-R02-B4,32
Lower Shelve,F0-PZ01-A03-R03-A1,47
Lower Shelve,F0-PZ01-A03-R03-A2,47
Lower Shelve,F0-PZ01-A03-R03-A3,47
Upper Shelve,F0-PZ01-A03-R03-B1,32
Upper Shelve,F0-PZ01-A03-R03-B2,32
Upper Shelve,F0-PZ01-A03-R03-B3,32
Upper Shelve,F0-PZ01-A03-R03-B4,32
Lower Shelve,F0-PZ01-A03-R04-A1,47
Lower Shelve,F0-PZ01-A03-R04-A2,47
Lower Shelve,F0-PZ01-A03-R04-A3,47
Upper Shelve,F0-PZ01-A03-R04-B1,32
Upper Shelve,F0-PZ01-A03-R04-B2,32
Upper Shelve,F0-PZ01-A03-R04-B3,32
Upper Shelve,F0-PZ01-A03-R04-B4,32
Lower Shelve,F0-PZ01-A03-R05-A1,47
Lower Shelve,F0-PZ01-A03-R05-A2,47
Lower Shelve,F0-PZ01-A03-R05-A3,47
Upper Shelve,F0-PZ01-A03-R05-B1,32
Upper Shelve,F0-PZ01-A03-R05-B2,32
Upper Shelve,F0-PZ01-A03-R05-B3,32
Upper Shelve,F0-PZ01-A03-R05-B4,32
Lower Shelve,F0-PZ01-A03-R06-A1,47
Lower Shelve,F0-PZ01-A03-R06-A2,47
Lower Shelve,F0-PZ01-A03-R06-A3,47
Upper Shelve,F0-PZ01-A03-R06-B1,32
Upper Shelve,F0-PZ01-A03-R06-B2,32
Upper Shelve,F0-PZ01-A03-R06-B3,32
Upper Shelve,F0-PZ01-A03-R06-B4,32
Lower Shelve,F0-PZ01-A03-R07-A1,47
Lower Shelve,F0-PZ01-A03-R07-A2,47
Lower Shelve,F0-PZ01-A03-R07-A3,47
Upper Shelve,F0-PZ01-A03-R07-B1,32
Upper Shelve,F0-PZ01-A03-R07-B2,32
Upper Shelve,F0-PZ01-A03-R07-B3,32
Upper Shelve,F0-PZ01-A03-R07-B4,32
Lower Shelve,F0-PZ01-A04-R01-A1,47
Lower Shelve,F0-PZ01-A04-R01-A2,47
Lower Shelve,F0-PZ01-A04-R01-A3,47
Upper Shelve,F0-PZ01-A04-R01-B1,32
Upper Shelve,F0-PZ01-A04-R01-B2,32
Upper Shelve,F0-PZ01-A04-R01-B3,32
Upper Shelve,F0-PZ01-A04-R01-B4,32
Lower Shelve,F0-PZ01-A04-R02-A1,47
Lower Shelve,F0-PZ01-A04-R02-A2,47
Lower Shelve,F0-PZ01-A04-R02-A3,47
Upper Shelve,F0-PZ01-A04-R02-B1,32
Upper Shelve,F0-PZ01-A04-R02-B2,32
Upper Shelve,F0-PZ01-A04-R02-B3,32
Upper Shelve,F0-PZ01-A04-R02-B4,32
Lower Shelve,F0-PZ01-A04-R03-A1,47
Lower Shelve,F0-PZ01-A04-R03-A2,47
Lower Shelve,F0-PZ01-A04-R03-A3,47
Upper Shelve,F0-PZ01-A04-R03-B1,32
Upper Shelve,F0-PZ01-A04-R03-B2,32
Upper Shelve,F0-PZ01-A04-R03-B3,32
Upper Shelve,F0-PZ01-A04-R03-B4,32
Lower Shelve,F0-PZ01-A04-R04-A1,47
Lower Shelve,F0-PZ01-A04-R04-A2,47
Lower Shelve,F0-PZ01-A04-R04-A3,47
Upper Shelve,F0-PZ01-A04-R04-B1,32
Upper Shelve,F0-PZ01-A04-R04-B2,32
Upper Shelve,F0-PZ01-A04-R04-B3,32
Upper Shelve,F0-PZ01-A04-R04-B4,32
Lower Shelve,F0-PZ01-A04-R05-A1,47
Lower Shelve,F0-PZ01-A04-R05-A2,47
Lower Shelve,F0-PZ01-A04-R05-A3,47
Upper Shelve,F0-PZ01-A04-R05-B1,32
Upper Shelve,F0-PZ01-A04-R05-B2,32
Upper Shelve,F0-PZ01-A04-R05-B3,32
Upper Shelve,F0-PZ01-A04-R05-B4,32
Lower Shelve,F0-PZ01-A04-R06-A1,47
Lower Shelve,F0-PZ01-A04-R06-A2,47
Lower Shelve,F0-PZ01-A04-R06-A3,47
Upper Shelve,F0-PZ01-A04-R06-B1,32
Upper Shelve,F0-PZ01-A04-R06-B2,32
Upper Shelve,F0-PZ01-A04-R06-B3,32
Upper Shelve,F0-PZ01-A04-R06-B4,32
Lower Shelve,F0-PZ01-A04-R07-A1,47
Lower Shelve,F0-PZ01-A04-R07-A2,47
Lower Shelve,F0-PZ01-A04-R07-A3,47
Upper Shelve,F0-PZ01-A04-R07-B1,32
Upper Shelve,F0-PZ01-A04-R07-B2,32
Upper Shelve,F0-PZ01-A04-R07-B3,32
Upper Shelve,F0-PZ01-A04-R07-B4,32
Lower Shelve,F0-PZ01-A05-R01-A1,47
Lower Shelve,F0-PZ01-A05-R01-A2,47
Lower Shelve,F0-PZ01-A05-R01-A3,47
Upper Shelve,F0-PZ01-A05-R01-B1,32
Upper Shelve,F0-PZ01-A05-R01-B2,32
Upper Shelve,F0-PZ01-A05-R01-B3,32
Upper Shelve,F0-PZ01-A05-R01-B4,32
Lower Shelve,F0-PZ01-A05-R02-A1,47
Lower Shelve,F0-PZ01-A05-R02-A2,47
Lower Shelve,F0-PZ01-A05-R02-A3,47
Upper Shelve,F0-PZ01-A05-R02-B1,32
Upper Shelve,F0-PZ01-A05-R02-B2,32
Upper Shelve,F0-PZ01-A05-R02-B3,32
Upper Shelve,F0-PZ01-A05-R02-B4,32
Lower Shelve,F0-PZ01-A05-R03-A1,47
Lower Shelve,F0-PZ01-A05-R03-A2,47
Lower Shelve,F0-PZ01-A05-R03-A3,47
Upper Shelve,F0-PZ01-A05-R03-B1,32
Upper Shelve,F0-PZ01-A05-R03-B2,32
Upper Shelve,F0-PZ01-A05-R03-B3,32
Upper Shelve,F0-PZ01-A05-R03-B4,32
Lower Shelve,F0-PZ01-A05-R04-A1,47
Lower Shelve,F0-PZ01-A05-R04-A2,47
Lower Shelve,F0-PZ01-A05-R04-A3,47
Upper Shelve,F0-PZ01-A05-R04-B1,32
Upper Shelve,F0-PZ01-A05-R04-B2,32
Upper Shelve,F0-PZ01-A05-R04-B3,32
Upper Shelve,F0-PZ01-A05-R04-B4,32
Lower Shelve,F0-PZ01-A05-R05-A1,47
Lower Shelve,F0-PZ01-A05-R05-A2,47
Lower Shelve,F0-PZ01-A05-R05-A3,47
Upper Shelve,F0-PZ01-A05-R05-B1,32
Upper Shelve,F0-PZ01-A05-R05-B2,32
Upper Shelve,F0-PZ01-A05-R05-B3,32
Upper Shelve,F0-PZ01-A05-R05-B4,32
Lower Shelve,F0-PZ01-A05-R06-A1,47
Lower Shelve,F0-PZ01-A05-R06-A2,47
Upper Shelve,F0-PZ01-A05-R06-B1,32
Upper Shelve,F0-PZ01-A05-R06-B2,32
Upper Shelve,F0-PZ01-A05-R06-B4,32
Bulk Location,F0-PZ01-A06-R01-A1,60
Bulk Location,F0-PZ01-A06-R01-A2,60
Bulk Location,F0-PZ01-A06-R02-A1,60
Bulk Location,F0-PZ01-A06-R02-A2,60
Bulk Location,F0-PZ01-A06-R03-A1,60
Bulk Location,F0-PZ01-A06-R03-A2,60
Bulk Location,F0-PZ01-A06-R04-A1,60
Bulk Location,F0-PZ01-A06-R04-A2,60
Bulk Location,F0-PZ01-A06-R05-A1,60
Bulk Location,F0-PZ01-A06-R05-A2,60
Bulk Location,F0-PZ01-A06-R06-A2,60
Bulk Location,F0-PZ01-A07-R01-A1,60
Bulk Location,F0-PZ01-A07-R01-A2,60
Bulk Location,F0-PZ01-A07-R02-A1,60
Bulk Location,F0-PZ01-A07-R02-A2,60
Bulk Location,F0-PZ01-A07-R03-A1,60
Bulk Location,F0-PZ01-A07-R03-A2,60
Bulk Location,F0-PZ01-A07-R04-A1,60
Bulk Location,F0-PZ01-A07-R04-A2,60
Bulk Location,F0-PZ01-A07-R05-A1,60
Bulk Location,F0-PZ01-A07-R05-A2,60
Bulk Location,F0-PZ01-A07-R06-A1,60
Bulk Location,F0-PZ01-A07-R06-A2,60
Bulk Location,F0-PZ01-A07-R07-A1,60
Bulk Location,F0-PZ01-A07-R07-A2,60
Bulk Location,F0-PZ01-A07-R08-A1,60
Bulk Location,F0-PZ01-A07-R08-A2,60
Bulk Location,F0-PZ01-A07-R09-A1,60
Bulk Location,F1-PZ01-A01-PL01,60
Bulk Location,F1-PZ01-A01-PL02,60
Bulk Location,F1-PZ01-A01-PL03,60
Bulk Location,F1-PZ01-A01-PL04,60
Bulk Location,F1-PZ01-A01-PL05,60
Bulk Location,F1-PZ01-A01-PL06,60
Bulk Location,F1-PZ01-A01-PL07,60
Bulk Location,F1-PZ01-A01-PL08,60
Bulk Location,F1-PZ01-A01-PL09,60
Bulk Location,F1-PZ01-A01-PL10,60
Lower Shelve,F1-PZ01-A01-R01-A1,47
Lower Shelve,F1-PZ01-A01-R01-A2,47
Lower Shelve,F1-PZ01-A01-R01-A3,47
Upper Shelve,F1-PZ01-A01-R01-B1,32
Upper Shelve,F1-PZ01-A01-R01-B2,32
Upper Shelve,F1-PZ01-A01-R01-B3,32
Upper Shelve,F1-PZ01-A01-R01-B4,32
Lower Shelve,F1-PZ01-A01-R02-A1,47
Lower Shelve,F1-PZ01-A01-R02-A2,47
Lower Shelve,F1-PZ01-A01-R02-A3,47
Upper Shelve,F1-PZ01-A01-R02-B1,32
Upper Shelve,F1-PZ01-A01-R02-B2,32
Upper Shelve,F1-PZ01-A01-R02-B3,32
Upper Shelve,F1-PZ01-A01-R02-B4,32
Lower Shelve,F1-PZ01-A01-R03-A1,47
Lower Shelve,F1-PZ01-A01-R03-A2,47
Lower Shelve,F1-PZ01-A01-R03-A3,47
Upper Shelve,F1-PZ01-A01-R03-B1,32
Upper Shelve,F1-PZ01-A01-R03-B2,32
Upper Shelve,F1-PZ01-A01-R03-B3,32
Upper Shelve,F1-PZ01-A01-R03-B4,32
Lower Shelve,F1-PZ01-A01-R04-A1,47
Lower Shelve,F1-PZ01-A01-R04-A2,47
Lower Shelve,F1-PZ01-A01-R04-A3,47
Upper Shelve,F1-PZ01-A01-R04-B1,32
